date,symbol,exchange,stock_price_for_iv,period,delta,moneyness,strike,iv
01/15/2019,IWM,NYSEArca,143.2200,30,10,0.062096,152.647971,0.165930
01/15/2019,IWM,NYSEArca,143.2200,30,15,0.051122,150.981970,0.168139
01/15/2019,IWM,NYSEArca,143.2200,30,20,0.042412,149.672628,0.170807
01/15/2019,IWM,NYSEArca,143.2200,30,25,0.034888,148.550717,0.173986
01/15/2019,IWM,NYSEArca,143.2200,30,30,0.027983,147.528508,0.177514
01/15/2019,IWM,NYSEArca,143.2200,30,35,0.021361,146.554801,0.181156
01/15/2019,IWM,NYSEArca,143.2200,30,40,0.014843,145.602663,0.184995
01/15/2019,IWM,NYSEArca,143.2200,30,45,0.008284,144.650781,0.189144
01/15/2019,IWM,NYSEArca,143.2200,30,50,0.001543,143.678969,0.193746
01/15/2019,IWM,NYSEArca,143.2200,30,55,-0.005537,142.665314,0.198746
01/15/2019,IWM,NYSEArca,143.2200,30,60,-0.013098,141.590690,0.203836
01/15/2019,IWM,NYSEArca,143.2200,30,65,-0.021369,140.424423,0.209823
01/15/2019,IWM,NYSEArca,143.2200,30,70,-0.030608,139.133016,0.216391
01/15/2019,IWM,NYSEArca,143.2200,30,75,-0.041232,137.662691,0.223881
01/15/2019,IWM,NYSEArca,143.2200,30,80,-0.053923,135.926654,0.232704
01/15/2019,IWM,NYSEArca,143.2200,30,85,-0.070220,133.729410,0.244598
01/15/2019,IWM,NYSEArca,143.2200,30,90,-0.093248,130.685076,0.261444
01/15/2019,IWM,NYSEArca,143.2200,60,10,0.085980,156.292904,0.161356
01/15/2019,IWM,NYSEArca,143.2200,60,15,0.071487,154.044087,0.164807
01/15/2019,IWM,NYSEArca,143.2200,60,20,0.059902,152.269784,0.168693
01/15/2019,IWM,NYSEArca,143.2200,60,25,0.049712,150.726033,0.172809
01/15/2019,IWM,NYSEArca,143.2200,60,30,0.040191,149.297781,0.176929
01/15/2019,IWM,NYSEArca,143.2200,60,35,0.031040,147.937789,0.181380
01/15/2019,IWM,NYSEArca,143.2200,60,40,0.021940,146.597662,0.185929
01/15/2019,IWM,NYSEArca,143.2200,60,45,0.012707,145.250355,0.190721
01/15/2019,IWM,NYSEArca,143.2200,60,50,0.003176,143.872550,0.196560
01/15/2019,IWM,NYSEArca,143.2200,60,55,-0.006950,142.423048,0.202681
01/15/2019,IWM,NYSEArca,143.2200,60,60,-0.017825,140.882589,0.208231
01/15/2019,IWM,NYSEArca,143.2200,60,65,-0.029694,139.220338,0.214217
01/15/2019,IWM,NYSEArca,143.2200,60,70,-0.043018,137.377669,0.221255
01/15/2019,IWM,NYSEArca,143.2200,60,75,-0.058302,135.293953,0.228949
01/15/2019,IWM,NYSEArca,143.2200,60,80,-0.076588,132.842451,0.238103
01/15/2019,IWM,NYSEArca,143.2200,60,85,-0.099666,129.811817,0.249339
01/15/2019,IWM,NYSEArca,143.2200,60,90,-0.131924,125.691166,0.265007
01/15/2019,IWM,NYSEArca,143.2200,90,10,0.104728,159.468956,0.159633
01/15/2019,IWM,NYSEArca,143.2200,90,15,0.087688,156.774626,0.163943
01/15/2019,IWM,NYSEArca,143.2200,90,20,0.073806,154.613318,0.168254
01/15/2019,IWM,NYSEArca,143.2200,90,25,0.061567,152.732538,0.172828
01/15/2019,IWM,NYSEArca,143.2200,90,30,0.050065,150.985872,0.177369
01/15/2019,IWM,NYSEArca,143.2200,90,35,0.038967,149.319495,0.182254
01/15/2019,IWM,NYSEArca,143.2200,90,40,0.027886,147.674019,0.187286
01/15/2019,IWM,NYSEArca,143.2200,90,45,0.016613,146.018638,0.192793
01/15/2019,IWM,NYSEArca,143.2200,90,50,0.004861,144.312671,0.198563
01/15/2019,IWM,NYSEArca,143.2200,90,55,-0.007599,142.525691,0.204055
01/15/2019,IWM,NYSEArca,143.2200,90,60,-0.020981,140.631117,0.209987
01/15/2019,IWM,NYSEArca,143.2200,90,65,-0.035665,138.581177,0.216640
01/15/2019,IWM,NYSEArca,143.2200,90,70,-0.052061,136.327526,0.223599
01/15/2019,IWM,NYSEArca,143.2200,90,75,-0.070947,133.777005,0.231567
01/15/2019,IWM,NYSEArca,143.2200,90,80,-0.093593,130.781536,0.241097
01/15/2019,IWM,NYSEArca,143.2200,90,85,-0.122123,127.103062,0.252573
01/15/2019,IWM,NYSEArca,143.2200,90,90,-0.162026,122.131126,0.268585
01/15/2019,IWM,NYSEArca,143.2200,120,10,0.119962,162.077019,0.157691
01/15/2019,IWM,NYSEArca,143.2200,120,15,0.100532,158.958260,0.161916
01/15/2019,IWM,NYSEArca,143.2200,120,20,0.084927,156.496970,0.166541
01/15/2019,IWM,NYSEArca,143.2200,120,25,0.071019,154.335476,0.171180
01/15/2019,IWM,NYSEArca,143.2200,120,30,0.058027,152.343318,0.176042
01/15/2019,IWM,NYSEArca,143.2200,120,35,0.045325,150.420491,0.180824
01/15/2019,IWM,NYSEArca,143.2200,120,40,0.032681,148.530548,0.185875
01/15/2019,IWM,NYSEArca,143.2200,120,45,0.019827,146.633554,0.191507
01/15/2019,IWM,NYSEArca,143.2200,120,50,0.006399,144.677720,0.197293
01/15/2019,IWM,NYSEArca,143.2200,120,55,-0.007852,142.630539,0.202820
01/15/2019,IWM,NYSEArca,143.2200,120,60,-0.023171,140.462233,0.208890
01/15/2019,IWM,NYSEArca,143.2200,120,65,-0.039999,138.118311,0.215644
01/15/2019,IWM,NYSEArca,143.2200,120,70,-0.058769,135.550010,0.222525
01/15/2019,IWM,NYSEArca,143.2200,120,75,-0.080427,132.645831,0.230554
01/15/2019,IWM,NYSEArca,143.2200,120,80,-0.106360,129.250146,0.240030
01/15/2019,IWM,NYSEArca,143.2200,120,85,-0.139085,125.088896,0.251546
01/15/2019,IWM,NYSEArca,143.2200,120,90,-0.184835,119.495014,0.267552
01/15/2019,IWM,NYSEArca,143.2200,150,10,0.131052,163.919526,0.153615
01/15/2019,IWM,NYSEArca,143.2200,150,15,0.110392,160.567692,0.158391
01/15/2019,IWM,NYSEArca,143.2200,150,20,0.093649,157.901688,0.163407
01/15/2019,IWM,NYSEArca,143.2200,150,25,0.078694,155.557838,0.168506
01/15/2019,IWM,NYSEArca,143.2200,150,30,0.064425,153.353944,0.173288
01/15/2019,IWM,NYSEArca,143.2200,150,35,0.050686,151.261422,0.178646
01/15/2019,IWM,NYSEArca,143.2200,150,40,0.036852,149.183279,0.184048
01/15/2019,IWM,NYSEArca,143.2200,150,45,0.022699,147.086759,0.189843
01/15/2019,IWM,NYSEArca,143.2200,150,50,0.007885,144.923876,0.195893
01/15/2019,IWM,NYSEArca,143.2200,150,55,-0.007889,142.655782,0.201686
01/15/2019,IWM,NYSEArca,143.2200,150,60,-0.024890,140.250991,0.207982
01/15/2019,IWM,NYSEArca,143.2200,150,65,-0.043593,137.652255,0.214894
01/15/2019,IWM,NYSEArca,143.2200,150,70,-0.064583,134.793046,0.222326
01/15/2019,IWM,NYSEArca,143.2200,150,75,-0.088745,131.575208,0.230490
01/15/2019,IWM,NYSEArca,143.2200,150,80,-0.117815,127.805376,0.240371
01/15/2019,IWM,NYSEArca,143.2200,150,85,-0.154548,123.195880,0.252292
01/15/2019,IWM,NYSEArca,143.2200,150,90,-0.205518,117.073929,0.268142
01/15/2019,IWM,NYSEArca,143.2200,180,10,0.142394,165.901288,0.151900
01/15/2019,IWM,NYSEArca,143.2200,180,15,0.120180,162.256588,0.156792
01/15/2019,IWM,NYSEArca,143.2200,180,20,0.102029,159.338036,0.161719
01/15/2019,IWM,NYSEArca,143.2200,180,25,0.085740,156.763603,0.166572
01/15/2019,IWM,NYSEArca,143.2200,180,30,0.070484,154.390167,0.171666
01/15/2019,IWM,NYSEArca,143.2200,180,35,0.055591,152.107872,0.176922
01/15/2019,IWM,NYSEArca,143.2200,180,40,0.040657,149.853171,0.182408
01/15/2019,IWM,NYSEArca,143.2200,180,45,0.025357,147.577868,0.188286
01/15/2019,IWM,NYSEArca,143.2200,180,50,0.009344,145.233524,0.194668
01/15/2019,IWM,NYSEArca,143.2200,180,55,-0.007782,142.767432,0.200368
01/15/2019,IWM,NYSEArca,143.2200,180,60,-0.026238,140.156682,0.206682
01/15/2019,IWM,NYSEArca,143.2200,180,65,-0.046537,137.340323,0.213536
01/15/2019,IWM,NYSEArca,143.2200,180,70,-0.069359,134.241438,0.221066
01/15/2019,IWM,NYSEArca,143.2200,180,75,-0.095617,130.762403,0.229222
01/15/2019,IWM,NYSEArca,143.2200,180,80,-0.127258,126.689720,0.239185
01/15/2019,IWM,NYSEArca,143.2200,180,85,-0.167100,121.741380,0.250916
01/15/2019,IWM,NYSEArca,143.2200,180,90,-0.222691,115.158329,0.266972
01/15/2019,IWM,NYSEArca,143.2200,270,10,0.170598,170.857735,0.147478
01/15/2019,IWM,NYSEArca,143.2200,270,15,0.144318,166.426081,0.152277
01/15/2019,IWM,NYSEArca,143.2200,270,20,0.123150,162.940198,0.157461
01/15/2019,IWM,NYSEArca,143.2200,270,25,0.104059,159.859013,0.162535
01/15/2019,IWM,NYSEArca,143.2200,270,30,0.086027,157.002268,0.167680
01/15/2019,IWM,NYSEArca,143.2200,270,35,0.068469,154.269682,0.173145
01/15/2019,IWM,NYSEArca,143.2200,270,40,0.050674,151.548734,0.178484
01/15/2019,IWM,NYSEArca,143.2200,270,45,0.032537,148.824871,0.184526
01/15/2019,IWM,NYSEArca,143.2200,270,50,0.013495,146.017759,0.191016
01/15/2019,IWM,NYSEArca,143.2200,270,55,-0.006948,143.063023,0.196724
01/15/2019,IWM,NYSEArca,143.2200,270,60,-0.028990,139.944127,0.202986
01/15/2019,IWM,NYSEArca,143.2200,270,65,-0.053297,136.583514,0.210075
01/15/2019,IWM,NYSEArca,143.2200,270,70,-0.080586,132.906683,0.217450
01/15/2019,IWM,NYSEArca,143.2200,270,75,-0.112031,128.792458,0.225558
01/15/2019,IWM,NYSEArca,143.2200,270,80,-0.150086,123.983346,0.235738
01/15/2019,IWM,NYSEArca,143.2200,270,85,-0.198288,118.148849,0.247953
01/15/2019,IWM,NYSEArca,143.2200,270,90,-0.265035,110.520193,0.263806
01/15/2019,IWM,NYSEArca,143.2200,360,10,0.197976,175.929774,0.147159
01/15/2019,IWM,NYSEArca,143.2200,360,15,0.167836,170.706363,0.151989
01/15/2019,IWM,NYSEArca,143.2200,360,20,0.143640,166.625522,0.157260
01/15/2019,IWM,NYSEArca,143.2200,360,25,0.121203,162.928574,0.161692
01/15/2019,IWM,NYSEArca,143.2200,360,30,0.100578,159.602590,0.166783
01/15/2019,IWM,NYSEArca,143.2200,360,35,0.080464,156.424413,0.172100
01/15/2019,IWM,NYSEArca,143.2200,360,40,0.059982,153.253117,0.176995
01/15/2019,IWM,NYSEArca,143.2200,360,45,0.039282,150.113386,0.182766
01/15/2019,IWM,NYSEArca,143.2200,360,50,0.017628,146.897771,0.189064
01/15/2019,IWM,NYSEArca,143.2200,360,55,-0.005655,143.517060,0.193932
01/15/2019,IWM,NYSEArca,143.2200,360,60,-0.030600,139.981310,0.200085
01/15/2019,IWM,NYSEArca,143.2200,360,65,-0.058090,136.185634,0.207046
01/15/2019,IWM,NYSEArca,143.2200,360,70,-0.088702,132.079883,0.213470
01/15/2019,IWM,NYSEArca,143.2200,360,75,-0.124096,127.486811,0.221320
01/15/2019,IWM,NYSEArca,143.2200,360,80,-0.167023,122.129983,0.231427
01/15/2019,IWM,NYSEArca,143.2200,360,85,-0.221075,115.703850,0.243091
01/15/2019,IWM,NYSEArca,143.2200,360,90,-0.295873,107.365180,0.258326
01/15/2019,IWM,NYSEArca,143.2200,720,10,0.273241,191.281414,0.140924
01/15/2019,IWM,NYSEArca,143.2200,720,15,0.231803,183.517072,0.144997
01/15/2019,IWM,NYSEArca,143.2200,720,20,0.199140,177.619691,0.149757
01/15/2019,IWM,NYSEArca,143.2200,720,25,0.170719,172.642623,0.155151
01/15/2019,IWM,NYSEArca,143.2200,720,30,0.143805,168.058091,0.160677
01/15/2019,IWM,NYSEArca,143.2200,720,35,0.117164,163.639968,0.166172
01/15/2019,IWM,NYSEArca,143.2200,720,40,0.090253,159.294980,0.171816
01/15/2019,IWM,NYSEArca,143.2200,720,45,0.063189,155.041636,0.178991
01/15/2019,IWM,NYSEArca,143.2200,720,50,0.035103,150.747718,0.188655
01/15/2019,IWM,NYSEArca,143.2200,720,55,0.003300,146.028922,0.196011
01/15/2019,IWM,NYSEArca,143.2200,720,60,-0.031633,141.015766,0.201961
01/15/2019,IWM,NYSEArca,143.2200,720,65,-0.069899,135.721596,0.208038
01/15/2019,IWM,NYSEArca,143.2200,720,70,-0.112349,130.080787,0.213691
01/15/2019,IWM,NYSEArca,143.2200,720,75,-0.161592,123.830376,0.221796
01/15/2019,IWM,NYSEArca,143.2200,720,80,-0.219962,116.809301,0.230364
01/15/2019,IWM,NYSEArca,143.2200,720,85,-0.293344,108.544552,0.240811
01/15/2019,IWM,NYSEArca,143.2200,720,90,-0.398891,97.671880,0.258125
01/15/2019,IWM,NYSEArca,143.2200,1080,10,0.339340,206.006157,0.140656
01/15/2019,IWM,NYSEArca,143.2200,1080,15,0.289007,195.893876,0.144725
01/15/2019,IWM,NYSEArca,143.2200,1080,20,0.249466,188.299176,0.149482
01/15/2019,IWM,NYSEArca,143.2200,1080,25,0.215200,181.956212,0.154890
01/15/2019,IWM,NYSEArca,143.2200,1080,30,0.182790,176.153549,0.160428
01/15/2019,IWM,NYSEArca,143.2200,1080,35,0.150720,170.593930,0.165936
01/15/2019,IWM,NYSEArca,143.2200,1080,40,0.118335,165.157747,0.171587
01/15/2019,IWM,NYSEArca,143.2200,1080,45,0.085965,159.897192,0.178826
01/15/2019,IWM,NYSEArca,143.2200,1080,50,0.052661,154.659675,0.188666
01/15/2019,IWM,NYSEArca,143.2200,1080,55,0.014510,148.870389,0.196117
01/15/2019,IWM,NYSEArca,143.2200,1080,60,-0.027652,142.724194,0.202065
01/15/2019,IWM,NYSEArca,143.2200,1080,65,-0.073864,136.278701,0.208139
01/15/2019,IWM,NYSEArca,143.2200,1080,70,-0.125215,129.457295,0.213742
01/15/2019,IWM,NYSEArca,143.2200,1080,75,-0.184583,121.995366,0.221856
01/15/2019,IWM,NYSEArca,143.2200,1080,80,-0.255044,113.695298,0.230435
01/15/2019,IWM,NYSEArca,143.2200,1080,85,-0.343558,104.064203,0.240838
01/15/2019,IWM,NYSEArca,143.2200,1080,90,-0.470727,91.637361,0.258316
